#{"t_start": 1642441941.2611606, "env_id": null}
r,l,t
0.928885,49,2.144694
1.193917,117,6.021636
48.40332,139,10.405875
-4.834809,77,13.446802
0.976472,56,15.761341
3.144225,255,23.394613
0.953749,58,25.762343
0.402904,39,27.636677
1.372853,144,32.257746
0.497425,101,35.762185
61.627397,118,40.088174
-3.481994,140,44.604816
39.789052,89,47.873379
0.619845,110,51.427075
-7.678233,257,59.353157
0.409444,51,61.505369
10.26013,105,65.133512
54.008252,121,69.254239
88.593378,317,81.983276
3.27541,128,86.873367
19.591241,191,93.013709
1.632985,73,95.713833
-4.657526,95,99.225192
-12.529154,215,106.222658
2.285197,101,109.72145
73.312515,136,115.753357
2.752455,145,120.190595
1.395329,65,122.787526
-2.237877,206,129.51628
0.056425,102,133.163425
4.232892,74,135.919801
-3.613083,92,140.180597
-0.114779,19,141.832852
1.67783,92,145.186956
-0.929047,161,151.623002
-3.409465,188,157.638283
19.519228,34,159.551415
-7.833582,131,164.390048
134.831684,134,169.483702
-3.284722,261,176.984717
-1.806018,144,181.673605
79.241636,76,184.686092
15.300591,147,189.670428
51.54367,103,193.220433
-4.257058,72,196.642888
73.27638,251,204.204475
1.976468,64,206.742872
9.206545,64,209.478375
106.373008,137,214.303632
-0.540071,120,220.049256
22.637173,129,224.562026
105.563072,237,232.189548
-4.828106,116,236.272742
71.778417,106,240.636422
-7.31043,184,248.174463
-4.808283,164,254.13327
77.544922,99,258.49288
1.677468,64,261.06831
-2.797606,145,266.080437
0.831261,53,268.351902
52.791783,152,273.427804
-0.120249,128,277.964456
1.825935,47,280.149034
-9.768878,148,285.103659
0.789151,67,287.673347
44.587287,168,293.291444
18.795356,48,298.197681
-9.265616,275,307.240536
82.779801,192,314.811598
98.970598,212,321.69342
-3.313803,55,324.075432
-6.950337,148,329.231546
1.65897,87,332.524314
57.387102,143,337.460744
-0.683474,67,340.225797
89.126741,158,345.443034
58.284188,141,349.990706
3.305689,114,354.07286
64.963842,65,357.078678
-25.97827,756,382.974648
41.996476,109,386.858613
63.088528,120,390.936204
147.293882,751,414.605079
69.337461,133,419.361698
