[-0.322 0.129 -0.165 -1.000 -0.654 -1.000]
[-0.624 0.633 0.333 -0.998 1.000 -0.332]
[-0.267 0.609 1.000 -0.973 -1.000 -0.044]
[-0.680 1.000 -0.106 -1.000 0.500 -1.000]
[0.209 -0.331 -1.000 -1.000 -0.244 0.918]
[0.406 -0.295 -1.000 1.000 -0.301 0.794]
[-1.000 0.382 0.190 1.000 0.983 1.000]
[1.000 -0.504 -1.000 0.538 0.808 1.000]
[-0.425 -1.000 -1.000 -1.000 0.616 0.812]
[0.550 0.054 -1.000 0.211 -0.347 1.000]
[-1.000 0.388 -0.311 0.050 -1.000 1.000]
[1.000 -0.244 -0.277 1.000 -0.977 -0.220]
[-0.601 -1.000 -0.074 -1.000 1.000 -1.000]
[-0.740 -1.000 0.230 -0.744 -0.933 0.318]
[0.502 0.773 -1.000 0.171 -1.000 -1.000]
[-0.737 -0.342 -0.864 1.000 -0.496 -0.248]
[0.655 0.153 -1.000 -0.553 0.340 -1.000]
[-1.000 0.485 -0.251 1.000 -0.943 -0.630]
[-0.360 1.000 0.728 0.583 0.645 1.000]
[1.000 0.399 0.377 0.281 -0.150 0.588]
[-0.277 -1.000 1.000 -1.000 -1.000 1.000]
[-0.492 0.757 -1.000 0.228 -0.489 -1.000]
[0.317 0.146 -0.663 -0.636 -0.400 -0.672]
[-1.000 0.975 -0.371 0.927 0.117 -0.598]
[-0.441 -0.300 0.703 -0.619 -0.616 0.380]
[-1.000 0.284 -0.873 1.000 -0.204 -0.461]
[0.161 -0.220 -1.000 -0.643 -0.494 -1.000]
[0.618 -0.160 -1.000 -1.000 -1.000 -0.467]
[0.713 -0.661 0.095 -1.000 1.000 1.000]
[0.384 -1.000 -1.000 -0.577 -0.664 0.733]
[1.000 0.172 -1.000 -0.176 -1.000 1.000]
[-1.000 0.498 0.540 0.134 0.953 -0.432]
[0.828 0.756 -1.000 -1.000 -1.000 1.000]
