,,0.29386351664956395
"[0.572 0.000 0.000 0.092 0.000 0.872 0.000 0.000 1.404 0.631 1.418 0.000
 0.415 -0.159 -0.120 0.309 0.192 -0.568]",,
,0.2942397656598593,
,,0.2942374833348785
"[0.000 0.000 0.000 0.245 0.000 0.000 0.000 0.000 0.000 1.703 0.000 0.184
 0.785 0.486 -0.938 0.296 1.000 -0.542]",,
,0.29430081599894714,
,,0.29430007568033045
"[0.794 0.222 0.820 0.000 0.000 0.000 1.236 0.878 0.000 0.000 0.000 1.331
 1.000 0.959 0.414 -0.275 -0.506 0.388]",,
,0.2932141784039315,
,,0.2932123072486453
"[0.422 0.399 0.000 0.000 0.000 0.291 0.000 0.682 0.017 0.000 0.160 0.671
 0.659 -1.000 0.478 0.361 -0.683 0.779]",,
,0.2953585168723869,
,,0.2953368663982968
"[0.000 0.000 0.000 0.796 0.000 0.000 0.832 1.532 0.463 1.282 0.000 0.000
 0.036 0.288 0.286 0.955 -0.324 0.835]",,
,0.2932717257966635,
,,0.29319235675567434
"[0.000 0.404 0.000 0.826 0.612 0.125 0.000 0.000 0.000 0.000 0.000 0.619
 0.150 0.262 0.278 -1.000 1.000 -0.917]",,
,0.29459652273119674,
,,0.294591296351237
"[0.673 1.127 0.106 0.818 0.298 0.423 0.000 0.000 0.000 1.523 1.350 0.634
 0.936 1.000 0.567 1.000 -0.292 0.371]",,
,0.2933361246862085,
,,0.2933275593060272
"[1.262 0.000 0.000 0.000 0.000 0.367 0.000 0.337 0.000 0.000 0.586 0.000
 -0.777 0.680 -0.882 0.813 0.842 0.458]",,
,0.2977328028226279,
,,0.2976648460108274
"[0.000 0.419 0.000 0.000 0.000 0.000 1.564 0.000 0.000 0.000 0.284 0.000
 0.756 0.976 -0.628 0.367 0.833 -0.532]",,
,0.29652303731381874,
,,0.29650961931745073
"[0.000 0.543 0.814 0.660 0.023 1.559 0.000 0.111 0.294 0.000 0.000 0.000
 0.697 0.537 -0.100 0.513 1.000 -0.358]",,
,0.2933368371617544,
,,0.2932509318308102
"[0.000 0.276 0.000 0.000 2.290 1.660 0.098 0.000 1.231 0.000 0.499 0.000
 0.394 1.000 1.000 1.000 -1.000 1.000]",,
,0.294498786545753,
,,0.2944986269886601
"[0.238 0.000 0.000 0.418 0.000 0.014 0.000 1.269 0.000 0.000 0.163 0.456
 -0.162 0.105 0.808 0.140 0.267 -1.000]",,
,0.2923335711146939,
,,0.2923127433790052
"[0.000 0.000 1.702 0.683 1.103 0.837 0.000 0.068 0.186 0.000 0.795 2.944
 -1.000 -0.745 0.141 0.675 0.086 -0.363]",,
,0.2920564957032781,
,,0.29202809920574097
"[0.000 0.000 0.215 0.021 1.480 0.649 0.000 1.653 1.780 1.334 0.441 0.000
 0.879 0.689 -0.433 1.000 -1.000 0.358]",,
,0.2949008272675488,
,,0.29489361034916617
"[0.000 0.000 0.849 1.704 0.526 0.272 1.089 0.000 0.622 0.000 1.549 0.000
 -0.202 0.656 1.000 -0.111 -1.000 -0.701]",,
,0.2947187872708254,
,,0.29471683304247226
"[0.690 0.000 1.863 0.000 0.000 0.000 0.000 0.000 1.871 0.000 1.302 0.000
 -1.000 0.011 1.000 0.028 -0.711 0.240]",,
,0.2939193930120522,
,,0.2939115137108291
"[0.230 0.000 1.363 0.000 1.277 0.157 1.306 0.000 1.006 0.505 1.736 0.571
 -0.310 0.257 1.000 -1.000 1.000 -1.000]",,
,0.2917264030627302,
,,0.291671270100032
"[0.961 0.000 0.478 0.078 0.125 0.000 0.331 0.000 0.000 0.545 0.374 1.039
 -1.000 -0.180 -0.214 1.000 1.000 -0.902]",,
,0.2941825623082652,
,,0.29418036189624314
"[0.255 0.000 1.687 0.216 0.000 0.000 0.205 0.000 0.193 0.000 0.000 1.124
 -0.091 1.000 0.709 0.269 0.658 -0.590]",,
,0.2932662634290799,
,,0.29325902012018484
"[0.000 0.000 0.000 0.603 0.000 0.000 0.277 0.000 0.000 0.236 0.000 1.600
 -1.000 -0.656 0.214 -1.000 0.148 -0.733]",,
,0.2942326161048421,
,,0.2942325594265585
"[0.000 0.000 0.952 0.000 0.000 0.000 0.899 0.968 0.392 0.023 1.542 0.579
 1.000 0.380 0.888 -0.655 1.000 -0.651]",,
,0.29397279608196614,
,,0.29397131047466885
"[0.000 0.000 1.334 0.806 0.000 2.645 0.351 0.980 0.000 0.236 0.000 0.000
 1.000 -0.033 -0.076 0.869 0.968 0.527]",,
,0.29888913229755315,
,,0.2988240197527087
"[0.912 0.000 0.751 1.911 0.000 0.000 1.038 0.000 0.000 0.194 0.549 0.000
 0.037 -0.748 -0.490 1.000 -0.304 -0.218]",,
,0.2943719986824385,
,,0.29436405691232626
"[0.402 0.000 0.000 0.151 0.000 1.916 0.000 0.000 2.636 0.662 0.000 0.000
 0.717 1.000 -1.000 0.461 -1.000 0.388]",,
,0.29481528988202277,
,,0.29480543502494516
"[0.865 0.573 0.000 0.535 0.204 1.029 0.028 0.000 0.924 0.009 0.000 0.000
 1.000 -0.558 1.000 0.907 1.000 -0.427]",,
,0.2946686069768573,
,,0.2946629226728183
"[0.373 0.000 0.000 1.860 0.000 0.338 1.145 0.521 0.000 0.000 1.087 0.000
 -1.000 -1.000 1.000 1.000 0.323 1.000]",,
,0.2940182223619856,
,,0.29401677089581607
"[0.000 0.000 0.000 2.189 0.000 1.351 0.631 1.654 0.000 0.000 0.000 0.469
 0.328 -0.145 0.384 -1.000 0.038 -0.996]",,
,0.29471616646693033,
,,0.29471396665154365
"[0.351 0.000 0.000 0.304 0.586 0.000 0.000 1.197 0.000 1.033 0.668 0.000
 -0.054 -0.272 0.899 -0.254 -0.335 1.000]",,
,0.29408759524910844,
,,0.2940861044316812
"[2.232 0.000 0.000 0.000 0.655 2.537 0.000 0.000 0.260 0.000 1.703 0.571
 -1.000 -0.752 -1.000 0.155 -0.644 1.000]",,
,0.290855891816257,
,,0.2908062748219005
"[0.646 0.699 0.833 0.000 1.057 0.000 0.000 0.323 0.000 2.063 0.120 0.000
 -0.365 -0.906 0.117 0.077 0.023 -0.350]",,
,0.2934898303015772,
,,0.293481446555623
"[0.000 0.000 0.272 0.000 0.000 1.111 0.188 0.000 0.361 0.876 0.052 0.478
 -0.475 -0.972 0.617 0.194 -0.649 1.000]",,
,0.2948424555729894,
,,0.29483887265211534
"[0.000 2.331 0.000 0.000 0.000 1.111 0.000 0.012 0.000 0.000 1.377 0.874
 0.201 0.050 -0.034 -0.235 -0.645 -0.649]",,
,0.2950862673813586,
,,0.29507310146201515
