[0.312 0.000 0.000 0.000 0.180 1.184 1.000 1.000 -1.000 -1.000 0.807 0.578],,
,0.29378838263444856,
,,0.2937790908513504
"[1.947 0.260 2.939 1.037 0.000 0.060 -1.000 0.588 -0.592 -0.918 0.313
 -1.000]",,
,0.2945771737738262,
,,0.2945656094173753
[0.000 0.000 0.533 0.000 0.000 0.092 0.308 0.021 0.909 1.000 0.763 -0.435],,
,0.292941960751205,
,,0.29293608486023537
"[1.018 0.000 1.361 0.000 0.000 0.000 0.884 0.486 -0.453 -0.339 -0.256
 -0.341]",,
,0.2944285337266345,
,,0.29442670915741165
[0.000 0.000 0.235 0.602 0.022 0.000 0.770 -0.755 0.062 1.000 0.617 0.515],,
,0.29176775850591585,
,,0.2916828992888151
[0.000 1.239 0.000 0.000 0.000 0.665 0.386 1.000 -0.716 0.340 -0.213 0.254],,
,0.296527256087934,
,,0.2965070687949945
"[0.417 0.000 0.516 0.523 0.434 0.000 -0.266 -1.000 0.556 -0.121 0.309
 -1.000]",,
,0.2975438105715535,
,,0.29748690151642404
"[0.000 1.157 0.000 0.000 0.000 1.018 -0.906 -0.535 -0.898 1.000 1.000
 -0.448]",,
,0.2927962726173643,
,,0.2927907808392158
"[0.000 0.118 0.000 0.970 0.000 1.232 -0.340 0.666 -0.848 0.999 -0.159
 0.347]",,
,0.294572606658386,
,,0.29453454779112465
"[0.000 0.283 0.032 0.063 0.000 0.075 0.622 -0.726 -0.825 0.567 0.448
 -1.000]",,
,0.2937218908672353,
,,0.2937214189894737
[0.406 0.334 0.000 0.000 0.000 1.650 0.858 1.000 -0.101 -1.000 1.000 0.595],,
,0.2950916150173801,
,,0.2950843287770481
"[0.018 2.252 1.047 1.054 2.002 1.043 -0.218 -1.000 -0.210 -0.128 -0.263
 -0.210]",,
,0.29595585515088707,
,,0.2959473707528183
"[0.000 0.000 0.000 0.000 0.000 0.000 -0.851 -0.414 -0.521 -0.741 -1.000
 -0.466]",,
,0.29394738060299674,
,,0.2939448321188239
[0.000 0.024 0.000 0.687 0.000 0.000 0.551 0.187 0.727 -0.013 1.000 0.882],,
,0.2937764388655096,
,,0.2937742393429607
[0.922 0.134 0.000 0.000 0.000 0.510 0.234 -0.431 0.880 0.110 -0.884 1.000],,
,0.29388158124467384,
,,0.2938813700857882
"[0.826 0.000 0.517 0.839 0.000 0.102 -1.000 -0.787 -0.666 1.000 1.000
 1.000]",,
,0.23921553007824023,
,,0.2391835934625677
"[0.000 1.896 1.392 0.886 0.000 0.000 0.310 -1.000 -1.000 1.000 -0.694
 0.362]",,
,0.2919817810198733,
,,0.29196067835747025
"[0.000 0.000 0.000 0.103 0.000 0.000 0.308 -0.129 0.673 -0.222 -1.000
 -0.888]",,
,0.226809069309665,
,,0.22461478394273524
[0.000 0.000 0.190 0.000 0.155 1.734 0.044 -0.476 1.000 1.000 -0.410 1.000],,
,0.2946476290988439,
,,0.29462534040441357
"[0.000 0.000 0.477 1.289 0.000 2.177 -0.865 -1.000 0.374 1.000 0.111
 -0.543]",,
,0.22873954697540932,
,,0.22870901207948072
"[0.229 0.000 0.350 0.502 0.612 0.268 1.000 -0.853 -1.000 -0.414 -0.298
 -1.000]",,
,0.29339985313692724,
,,0.2933959750288155
"[0.000 0.000 0.586 0.388 0.000 0.449 1.000 -1.000 -1.000 1.000 -0.017
 1.000]",,
,0.2939737950365866,
,,0.2939019204931275
"[0.586 0.000 0.000 0.814 2.898 1.099 -1.000 0.630 -0.209 0.243 -0.357
 -1.000]",,
,0.29230747659776257,
,,0.29229865748585526
"[1.667 0.000 0.000 0.643 0.942 0.839 0.995 -0.902 -1.000 -1.000 0.945
 1.000]",,
,0.29676995939470924,
,,0.29676251835287165
"[0.000 0.000 0.057 0.000 0.862 0.557 -0.358 -0.286 -1.000 0.852 -0.409
 0.531]",,
,0.2940625643255421,
,,0.29406139905851036
"[0.804 0.166 0.530 1.932 0.705 0.000 0.524 -1.000 0.270 -0.455 -0.082
 -1.000]",,
,0.2955608060361003,
,,0.29555966987056626
[0.000 0.000 1.828 0.508 0.319 0.518 1.000 0.924 0.661 0.746 0.787 -0.618],,
,0.06198232846416728,
,,0.05946235421347155
"[0.942 0.000 0.000 0.000 0.000 0.557 -0.353 0.807 -1.000 -0.124 1.000
 -1.000]",,
,0.29332516195559,
,,0.2933095697475811
"[0.000 0.383 0.885 0.000 0.983 0.000 0.861 -0.491 -0.417 -0.227 -0.039
 0.357]",,
,0.2941928829226523,
,,0.2941882794935276
"[0.600 1.167 0.000 0.000 0.000 0.611 -0.464 -0.711 0.397 -1.000 -0.464
 0.071]",,
,0.29393032824286125,
,,0.29392905103058803
[0.557 0.890 0.402 0.000 0.637 1.856 -0.733 1.000 -1.000 0.911 0.917 0.882],,
,0.0497771555639751,
,,0.047508820753329246
"[0.194 1.334 0.000 0.000 1.946 0.332 1.000 -1.000 -0.182 -0.700 0.091
 -1.000]",,
,0.2950067600949064,
,,0.2950057757586574
[0.000 0.000 0.302 1.310 0.468 1.293 -0.287 -1.000 0.858 1.000 1.000 0.301],,
,0.2943430648592276,
,,0.2943420237685768
[0.591 0.000 0.000 0.000 0.000 0.000 1.000 0.692 -1.000 -0.042 1.000 1.000],,
,0.29320320222606167,
,,0.29320091481560323
"[0.006 0.000 1.167 0.993 0.000 0.000 -0.692 -0.108 0.398 -0.846 1.000
 -1.000]",,
,0.29473985152356036,
,,0.29473956192255146
"[0.000 0.000 1.091 0.000 0.237 2.261 -1.000 0.021 -1.000 0.552 -0.830
 -1.000]",,
,0.29637221059520796,
,,0.29629774475964343
"[0.000 0.627 0.000 0.000 1.280 0.000 1.000 -0.754 -1.000 -1.000 -1.000
 -0.893]",,
,0.29541987687484594,
,,0.29540563674849724
"[0.805 0.165 1.458 0.000 0.409 0.000 1.000 -1.000 -0.877 1.000 -0.713
 -1.000]",,
,0.20040681446487815,
,,0.1980598971650361
"[0.000 0.000 0.277 0.000 0.000 0.000 1.000 0.239 -0.555 -0.625 -0.013
 0.516]",,
,0.2945672926433331,
,,0.29456691114569866
"[1.710 0.743 0.832 0.127 1.073 0.000 -0.093 -1.000 -1.000 -0.327 1.000
 -0.833]",,
,0.2948675047132239,
,,0.2948566642739707
"[0.000 0.577 0.000 0.000 0.000 0.000 0.450 -1.000 0.152 -1.000 1.000
 -0.140]",,
,0.29203670093082484,
,,0.29203422047732813
"[0.748 0.000 0.710 1.680 0.000 0.000 0.817 0.196 -0.937 1.000 -0.601
 -1.000]",,
,0.2946782968771004,
,,0.29467758718790427
"[0.000 0.000 1.012 1.495 0.000 0.000 1.000 -1.000 -1.000 -0.362 0.697
 -0.823]",,
,0.2910255424852823,
,,0.29097323673371034
"[0.092 0.000 0.317 1.477 0.000 0.312 1.000 -0.018 -1.000 -0.513 0.155
 -0.880]",,
,0.2974843007093402,
,,0.29744277924818363
"[0.000 0.000 0.000 0.000 0.000 0.000 -0.328 -0.498 1.000 1.000 -0.900
 -0.641]",,
,0.28039059347980044,
,,0.27821602731149636
"[1.524 0.000 0.000 0.519 0.000 0.000 1.000 -0.501 -0.305 1.000 -0.212
 1.000]",,
,0.29418227061495816,
,,0.29418130260271547
[0.021 1.360 0.000 0.000 0.326 0.000 1.000 0.794 1.000 -1.000 1.000 0.010],,
,0.29460941465403384,
,,0.29460739778356415
"[0.009 1.038 1.727 0.000 1.030 0.000 -0.754 0.654 -0.639 0.562 0.271
 -0.592]",,
,0.29325671103259965,
,,0.2931819424242739
"[1.464 0.000 0.000 0.976 0.516 0.416 -1.000 0.155 1.000 -0.451 -0.482
 -0.301]",,
,0.29516100726894107,
,,0.29515847323861694
"[0.000 1.183 0.000 0.721 1.320 0.000 1.000 -1.000 0.988 -0.343 -0.273
 -1.000]",,
,0.2967172709903491,
,,0.29669992270922746
[1.138 0.000 0.000 0.000 0.420 0.540 0.542 -0.105 0.485 -1.000 0.499 0.522],,
,0.293649310646606,
,,0.29364549429804754
"[0.305 0.832 0.119 0.000 0.000 0.148 1.000 -0.742 -0.355 -0.045 1.000
 -0.157]",,
,0.2941371117020404,
,,0.29413577688098796
"[0.000 0.000 0.000 0.794 0.000 0.765 0.192 -1.000 -0.492 -1.000 -1.000
 1.000]",,
,0.2936899686676094,
,,0.29368780770240516
"[0.866 1.899 2.465 1.549 0.819 0.623 -0.830 -1.000 0.507 0.152 -1.000
 0.372]",,
,0.29236015103614477,
,,0.29220442624152176
"[0.177 0.000 1.846 0.107 0.000 0.000 0.620 -1.000 -0.821 0.552 -1.000
 0.043]",,
,0.2930060609708151,
,,0.29300333586438637
"[0.000 0.695 0.000 0.409 0.000 0.309 -1.000 0.070 -0.841 0.976 1.000
 -1.000]",,
,0.2964171920498145,
,,0.29640626564494343
[1.573 1.276 0.435 1.398 0.398 0.000 0.897 1.000 0.834 -1.000 1.000 -0.259],,
,0.2936410884522749,
,,0.2936238701235912
"[0.684 0.000 0.000 0.617 0.000 0.000 0.625 -0.603 -1.000 -0.187 0.512
 0.354]",,
,0.29348857243897847,
,,0.2934741892076821
"[0.000 0.441 0.000 1.033 0.807 1.660 0.316 -1.000 -0.522 0.388 -0.482
 -1.000]",,
,0.2944403278573087,
,,0.2944375246266186
[0.430 0.000 2.105 0.571 0.000 0.000 0.280 -0.703 1.000 -0.072 1.000 0.454],,
,0.29251874084313684,
,,0.29250494784239184
"[0.000 0.000 0.587 0.283 1.415 1.366 0.090 0.084 -0.847 -1.000 0.386
 -1.000]",,
,0.9384393443273201,
,,0.9353623171467477
"[1.389 1.625 0.151 0.000 0.000 0.000 -0.735 -0.583 1.000 0.298 -0.755
 -0.585]",,
,0.20761185577447708,
,,0.20755806806864427
"[0.000 1.995 0.000 1.437 0.000 1.470 -0.205 -0.510 -1.000 -1.000 0.724
 1.000]",,
,0.29423413625843686,
,,0.2942185460811617
[0.168 0.816 0.000 1.756 0.000 2.186 1.000 -0.419 0.173 1.000 1.000 -0.422],,
,0.29632231760213334,
,,0.2963123160147156
"[0.000 0.764 0.000 1.759 0.622 0.000 -0.541 -0.453 -0.521 -0.024 1.000
 1.000]",,
,0.29073516545683786,
,,0.2906788935384753
"[0.489 1.720 0.000 0.000 0.463 0.000 -0.508 -0.746 -0.795 -0.606 -1.000
 1.000]",,
,0.2928396474906296,
,,0.2928314035655737
"[1.682 0.000 0.000 0.942 1.048 0.000 0.663 -0.742 0.305 -1.000 -0.787
 -1.000]",,
,0.11469062808599795,
,,0.11157333928913533
[0.671 0.000 0.000 0.000 0.385 0.416 1.000 1.000 1.000 0.724 -1.000 -1.000],,
,0.02240821308688008,
,,0.012387429033587328
[0.035 0.184 0.000 0.000 0.348 0.000 0.258 -1.000 0.842 1.000 -1.000 0.056],,
,0.2938664930887562,
,,0.293849085195257
"[0.139 0.000 0.697 0.000 1.425 0.047 -0.909 0.090 1.000 -0.942 -1.000
 -0.341]",,
,0.26520164557304443,
,,0.2651870689092573
"[0.000 0.225 0.404 3.310 0.798 0.000 1.000 -0.358 -1.000 -0.185 0.552
 -1.000]",,
,0.2946725248159909,
,,0.29466355299591046
"[0.292 0.000 0.000 0.108 0.573 0.000 -0.289 -1.000 -0.266 -0.739 0.574
 0.907]",,
,0.22013149411069644,
,,0.22005427016514117
"[0.000 0.185 0.931 1.592 0.545 0.343 -0.283 -0.995 0.088 1.000 1.000
 -1.000]",,
,0.2938959284691513,
,,0.2938909601921092
"[1.724 0.000 0.284 1.623 0.202 0.000 -0.157 -0.008 0.582 0.036 -0.074
 -0.010]",,
,0.2904258011967146,
,,0.2902797665965648
"[1.825 0.000 0.000 0.858 1.167 0.000 -1.000 0.197 -1.000 -0.794 -1.000
 -0.643]",,
,0.2960430309984224,
,,0.2960008069935688
[1.449 0.000 1.721 0.191 0.000 0.000 0.979 1.000 1.000 -0.441 1.000 0.666],,
,0.2960609762957744,
,,0.2960290222501533
[0.000 0.539 0.000 0.000 0.213 0.491 0.461 -0.033 0.935 -1.000 1.000 0.062],,
,0.048133316612063715,
,,0.046284178531963385
[0.000 0.000 0.494 2.392 0.000 0.000 0.090 -0.057 0.974 0.169 0.045 -0.374],,
,0.29481876791170564,
,,0.2948123327739745
[0.000 0.863 0.858 1.191 0.012 0.000 0.143 -0.511 0.033 1.000 0.425 -0.044],,
,0.29238150879477187,
,,0.29237074546637626
"[0.000 0.000 0.000 0.658 0.000 0.000 0.104 -1.000 -0.607 -0.844 0.698
 -1.000]",,
,0.3384999617289548,
,,0.3372524062170664
[0.000 1.569 0.000 0.958 1.890 0.000 0.883 -1.000 0.895 -0.243 0.220 0.747],,
,0.291357088121006,
,,0.29135364757444454
"[0.000 0.000 1.418 0.000 0.000 0.000 -0.257 -1.000 -0.978 -1.000 -0.345
 -0.657]",,
,0.29554845248499434,
,,0.2955301849024595
"[0.217 0.496 0.000 0.000 3.214 0.177 1.000 -0.415 -0.389 0.627 -1.000
 -1.000]",,
,0.2942971519552464,
,,0.29429452536297895
[0.000 0.000 0.000 0.000 0.126 0.000 1.000 0.373 -0.179 0.918 1.000 0.407],,
,0.29293173565462954,
,,0.29291850860330015
[0.239 0.929 0.688 1.372 0.436 0.000 0.645 -1.000 0.472 0.063 0.279 0.487],,
,0.2963102078869228,
,,0.2963042538302215
"[0.436 0.611 0.349 1.441 0.000 0.795 -0.194 -0.913 -0.926 -1.000 -0.240
 -1.000]",,
,0.2932402980639681,
,,0.2932387903685604
"[0.000 0.910 0.743 1.418 0.000 1.945 0.690 -0.394 0.669 1.000 -0.210
 -0.159]",,
,0.2942634082365468,
,,0.2942624318631124
"[0.000 0.295 1.667 0.631 2.169 2.657 0.719 -1.000 -0.382 0.243 0.049
 -0.771]",,
,0.2944726812865971,
,,0.29446178173716736
[0.488 0.763 0.000 0.311 0.000 0.000 1.000 1.000 0.017 0.675 0.307 -0.380],,
,0.4662199140052393,
,,0.46410228958372146
"[0.000 0.000 1.408 0.000 1.516 1.112 0.091 0.225 -0.822 -1.000 -0.785
 1.000]",,
,0.1499315108506789,
,,0.1495857965425242
"[0.289 0.000 0.000 0.000 1.342 0.000 -0.905 0.276 -0.701 -1.000 -1.000
 -0.573]",,
,0.2951028906851693,
,,0.2950781000577812
[0.512 2.184 0.000 0.759 0.355 0.059 -0.142 -0.552 0.816 1.000 0.610 1.000],,
,0.2961491986164463,
,,0.2961348966249962
"[0.000 0.000 0.420 0.000 0.000 1.602 0.402 -1.000 -0.867 1.000 -0.201
 -1.000]",,
,0.7721185269893773,
,,0.769663458278889
[0.000 0.572 2.341 1.006 0.238 0.000 1.000 0.596 -0.250 0.504 -0.729 0.001],,
,0.297135498750967,
,,0.29706665701285045
"[0.590 0.000 0.176 0.000 0.911 0.000 -0.710 0.121 -0.346 -0.576 0.825
 1.000]",,
,0.15158744049136488,
,,0.14883408194773357
"[0.000 0.000 1.028 2.747 0.000 1.175 0.548 -0.031 0.512 -0.376 0.238
 -0.211]",,
,0.2167138827737964,
,,0.21665529694007157
[0.000 0.000 0.000 0.000 0.000 0.000 0.767 -0.964 -0.478 0.951 1.000 0.791],,
,0.2943627187848653,
,,0.29429392932949605
"[0.174 0.465 2.641 0.000 0.109 0.465 -0.022 0.279 -0.793 -0.349 1.000
 0.352]",,
,0.5884741132260383,
,,0.5859173574317253
"[0.000 0.000 1.148 0.000 0.788 1.563 -0.745 -1.000 0.527 1.000 -1.000
 -0.788]",,
,0.35721012614451814,
,,0.35455064836732497
"[0.000 0.000 1.344 1.534 0.000 0.000 -0.897 -1.000 0.203 -1.000 -0.994
 -0.004]",,
,0.27702904677615386,
,,0.27701215269305884
"[0.000 1.767 0.000 0.000 1.285 0.000 -1.000 -0.769 -0.221 0.409 -0.511
 0.458]",,
,0.29309138284218655,
,,0.2930809354842202
[0.000 0.040 2.003 0.513 0.000 0.000 0.673 0.755 -1.000 0.803 1.000 -0.656],,
,0.24554388735061922,
,,0.24548133229600683
"[0.000 0.399 0.000 1.511 0.042 0.000 -0.542 -0.327 0.683 -0.792 0.923
 1.000]",,
,0.29219511359407324,
,,0.29219204283304134
"[0.000 0.050 0.000 0.000 0.855 2.909 -0.427 -1.000 -0.944 1.000 1.000
 -0.588]",,
,0.2922528391336072,
,,0.292245232005331
[0.802 0.708 0.000 0.862 0.000 0.641 0.893 1.000 -0.175 0.031 1.000 -0.984],,
,0.2541699927118653,
,,0.25415491642436133
"[0.291 3.882 0.565 0.000 0.000 0.000 1.000 -0.756 -0.878 1.000 0.152
 -1.000]",,
,0.22598687643477705,
,,0.2239066149060377
"[0.000 0.000 0.982 0.000 1.278 0.707 1.000 -1.000 -0.974 0.968 -0.774
 -1.000]",,
,0.7533075544907749,
,,0.7509280703435719
[1.155 1.136 0.000 0.000 0.603 1.939 0.880 -0.932 0.109 -0.592 0.108 0.896],,
,0.7258442177533726,
,,0.7224874512733255
"[0.000 0.011 0.000 0.587 0.000 0.134 -0.104 -0.605 -1.000 -1.000 0.532
 0.033]",,
,0.38134894941800596,
,,0.3791639471588817
[0.603 0.739 2.495 0.000 0.119 0.000 1.000 1.000 -1.000 0.571 -1.000 0.502],,
,0.29505328094157984,
,,0.29505072340377897
"[1.968 0.000 0.818 0.000 0.627 0.746 0.582 -0.644 -0.034 1.000 -0.185
 -1.000]",,
,1.1874071463083065,
,,1.1843426150614667
"[0.000 0.000 1.067 1.508 0.079 1.152 0.696 -0.862 -0.084 1.000 -1.000
 0.036]",,
,0.4947551749525549,
,,0.4920456598002764
"[0.765 1.300 0.068 0.000 0.000 0.000 -0.205 -1.000 0.795 0.105 -0.326
 -1.000]",,
,0.020846780386103294,
,,0.009504221740981476
[1.012 1.387 0.000 1.196 0.066 0.000 0.540 -0.846 0.655 -1.000 0.713 0.431],,
,0.29353071289290095,
,,0.29352246805967785
"[1.128 2.982 0.000 0.479 0.143 0.167 0.183 -0.593 0.272 -0.589 -1.000
 -0.439]",,
,0.29418376681022645,
,,0.29418269688533705
[0.000 0.963 0.000 1.324 0.000 0.000 -0.069 -1.000 0.862 0.722 0.478 0.184],,
,0.09403625462481206,
,,0.09075609267782896
"[1.160 0.519 1.892 0.075 0.000 0.000 -1.000 -1.000 -0.002 -0.132 0.538
 -0.840]",,
,0.25873147320273676,
,,0.25867380725465555
[0.000 2.151 0.833 0.000 0.000 0.931 1.000 0.853 1.000 1.000 0.904 1.000],,
,0.23071689779726087,
,,0.22839548277625182
"[0.000 0.000 0.000 0.000 0.000 0.000 0.459 -0.592 -1.000 1.000 1.000
 -0.109]",,
,0.2976419972760751,
,,0.2975556980632737
"[0.407 0.023 0.563 0.000 0.331 0.341 -0.718 1.000 0.838 -0.302 -0.162
 0.205]",,
,0.2939243699377193,
,,0.2938937198506773
"[0.000 0.185 0.000 1.555 1.031 0.000 1.000 0.695 -0.765 -0.999 -0.951
 -0.961]",,
,0.17698931798326106,
,,0.17527208543760325
"[0.072 0.630 1.098 0.000 0.481 0.000 0.174 -1.000 0.024 -0.842 -0.008
 -0.401]",,
,0.10474568550993162,
,,0.10437910203906915
