#{"t_start": 1642156578.7356844, "env_id": null}
r,l,t
0.047823,15,1.517176
0.252914,22,3.158096
1.212719,97,7.096872
1.719328,34,9.200393
1.608689,138,14.419927
2.851292,126,19.186004
3.375738,219,26.947526
1.956342,72,30.190231
-0.000623,12,31.537455
-2.912989,43,33.910346
0.303208,20,35.498296
0.364081,19,37.107914
0.292223,30,39.101621
3.643011,203,46.617781
-0.143142,8,47.835128
12.72709,46,50.222313
1.947465,82,53.917045
-0.132503,12,55.264926
-0.27056,6,56.424531
0.060257,28,58.246096
8.874362,525,75.49856
-1.401202,50,78.151947
0.066338,13,79.540425
0.091067,19,81.407696
3.174068,96,86.749207
0.117055,52,90.187793
0.724441,52,92.893598
0.150699,21,96.568776
0.433223,23,98.433119
3.839537,65,101.399561
0.356806,18,103.457436
46.196648,50,106.339008
3.06819,121,111.369688
0.384741,21,112.989891
0.717931,36,115.259885
0.449428,18,116.929724
1.744364,82,120.459005
0.553631,25,122.19586
1.036927,61,125.050202
3.660149,172,131.414606
2.239265,47,133.841436
1.28485,49,136.321885
0.434115,25,138.069597
-0.57048,65,141.234902
0.767983,35,143.305828
0.081361,29,145.195621
0.372787,45,147.587634
1.793379,61,150.438101
0.081432,15,152.015099
0.458397,37,154.139497
0.510326,48,156.59928
0.125386,27,158.404461
1.113486,46,160.923936
-0.251288,9,162.178401
0.049963,17,163.689216
0.356172,24,165.384817
0.901323,34,167.496515
3.219565,319,178.593886
-1.900352,34,180.685455
0.804885,64,184.34583
0.450287,21,185.970355
8.238181,179,192.585587
-0.012853,16,194.075558
1.661478,39,196.724735
-0.052971,24,198.438404
0.365818,23,200.110026
0.566655,26,208.220174
-0.035913,17,209.741493
1.289141,48,212.202304
0.488561,38,214.335814
0.851103,59,217.238113
-0.104488,26,219.019564
1.705175,36,221.101794
0.648942,21,222.716992
0.137327,18,224.237591
7.586738,207,231.746242
0.168712,21,233.440164
0.524835,54,236.689493
5.117906,114,241.179343
6.836763,74,244.571706
-0.424064,39,246.96697
0.484357,29,250.226739
0.951067,33,252.415568
0.100446,16,254.015205
4.615357,152,259.735751
0.037878,13,261.114767
6.830784,393,274.323509
-0.108924,17,275.819959
1.36608,111,280.24218
-0.119981,33,282.210321
0.175057,20,283.916411
-1.462987,47,286.390262
-0.047942,34,288.442822
0.169687,36,290.793377
0.791748,33,293.52659
-0.193777,8,295.153936
0.240181,27,297.354938
0.951139,32,299.668848
9.414794,209,307.032761
0.084767,12,308.485031
0.301951,29,312.814701
0.210849,16,314.296196
0.376265,26,316.063927
0.832974,31,318.224994
65.709234,42,321.879316
12.765324,316,332.691337
-0.090151,18,334.467255
0.810322,30,336.466944
1.6231,64,339.538915
-0.089823,15,340.980376
-0.512535,36,343.076171
0.418075,17,344.565166
1.426233,32,346.520445
