#{"t_start": 1642673216.202768, "env_id": null}
r,l,t
-5.122508,10,1.373264
40.844135,211,8.006775
-12.606119,55,10.466986
-7.814348,7,11.727831
3.582634,23,13.307076
20.959687,81,16.458755
3.225417,16,17.852048
67.867584,228,25.079606
68.163597,71,27.945551
1.094106,15,29.437342
-2.723752,10,30.679257
2.506707,16,32.06586
49.394738,48,34.329956
-3.44918,19,35.794582
82.526532,70,38.800037
1.826867,23,40.378772
-24.57177,32,42.228357
2.885595,14,43.571894
18.288276,34,45.455061
12.476051,27,47.17835
28.830661,58,49.832263
-70.725118,120,54.238688
26.295811,42,56.350988
46.350475,384,67.657306
-12.173659,79,70.775063
11.83797,52,73.258479
-64.880081,89,76.748847
4.617541,52,79.140794
5.85902,31,80.935571
18.73983,66,83.728762
23.535134,37,85.732792
4.894587,58,89.244658
29.289687,47,91.472544
12.020671,38,93.57896
-3.511876,19,95.050081
9.409365,33,96.898561
4.988756,16,98.289612
0.144657,12,99.56448
-5.194086,9,100.882933
5.956336,24,102.511439
3.284907,24,104.122084
3.160496,62,106.761139
29.215584,55,109.202277
-1.052209,14,110.542253
-101.791271,56,113.657573
77.984408,226,120.945519
3.565576,20,122.463633
22.168952,26,124.12974
-3.700717,13,125.445023
22.543281,82,128.644283
22.106081,56,131.28778
16.540403,28,133.015977
12.54381,27,134.710185
88.990921,285,143.498996
162.036924,137,148.486136
33.229818,95,152.16664
-2.733047,16,153.578969
-5.204308,13,154.899992
8.554026,50,157.240274
6.100191,19,158.713594
3.931632,15,160.086474
-4.650791,19,161.66539
-23.591468,101,165.429336
78.689179,85,168.729496
34.396937,75,171.762198
117.399849,77,174.807168
-35.478114,61,177.468119
23.209051,40,179.679729
2.503546,28,181.422787
-6.165431,7,182.578603
24.411122,46,186.013495
-2.647858,26,187.812456
18.981077,94,191.697813
9.891694,50,194.027876
5.484258,16,195.437456
160.017603,141,200.236421
149.704878,154,205.45746
1.657224,34,207.335708
36.281892,53,209.844534
22.30744,32,211.695244
0.333543,13,213.073443
7.727094,30,214.850182
172.883646,121,219.192194
55.673781,120,223.595509
26.298135,37,225.610329
15.472647,40,227.67442
59.833942,81,230.925909
74.998087,168,236.532372
105.569433,85,239.845701
8.632953,427,252.734101
68.587129,221,259.856186
27.79083,58,262.501496
-3.351526,35,265.301037
-1.54564,18,266.74333
32.170589,30,268.533635
36.185569,143,273.356313
99.397042,357,284.506228
7.323326,61,287.124202
36.549522,43,289.249604
-5.031976,8,290.419533
83.385425,133,295.004276
-0.366517,22,296.555169
-4.802048,25,298.324419
-3.535094,17,299.745489
-5.763679,6,300.869868
0.663004,15,302.238008
-4.349463,23,303.816927
60.119762,117,308.043147
-2.960963,11,309.312182
-3.804916,26,310.977451
137.558194,104,314.769376
16.809623,32,316.597204
-3.179779,17,318.024241
86.870451,126,322.35015
-4.953776,15,323.703947
-0.613119,16,325.077569
17.302358,47,327.428317
6.7429,38,329.42056
82.046146,118,333.932641
23.438249,33,335.783147
4.553069,40,337.831306
34.137046,82,341.108365
180.388859,128,345.568
10.6662,14,346.903958
-0.196259,18,348.348467
31.13658,259,357.448453
52.580426,121,361.702962
11.831353,37,363.812942
22.761909,42,365.921525
16.382957,36,367.860672
-5.261041,8,369.026968
33.760713,59,371.595845
0.186759,25,373.376716
6.192239,24,374.994123
9.815316,59,377.584287
0.521867,23,379.150198
84.092883,142,384.038569
35.255163,62,386.656111
68.308069,106,391.666341
-2.159164,11,392.947901
101.121784,268,401.378583
21.255799,42,403.47612
12.613521,35,405.531919
5.437405,26,407.185117
72.211219,125,411.515037
474.066251,260,419.720953
15.640586,26,421.386639
-54.561765,54,423.825804
5.603747,84,427.120604
22.092356,211,433.737141
-135.149659,42,435.89477
-3.425817,12,438.045984
13.831056,33,439.885127
43.083703,129,444.45414
119.999782,97,448.058423
253.112594,359,458.710131
26.482814,78,461.806778
19.268256,25,463.441561
25.706885,53,465.938819
130.329683,146,470.898207
3.64932,19,472.382362
9.709704,35,474.291157
28.302555,45,476.61819
