[0.042 0.110 -0.707 1.000 0.370 0.222]
[1.000 1.000 -1.000 -0.414 -0.314 -0.521]
[-1.000 -0.986 1.000 0.362 0.536 1.000]
[0.286 -0.813 0.470 0.369 -0.510 -0.902]
[-0.634 0.401 -0.272 0.910 0.597 1.000]
[-1.000 0.087 -1.000 -1.000 0.975 -0.539]
[1.000 -0.036 -0.128 -1.000 1.000 1.000]
[-0.090 0.218 0.695 1.000 -0.968 0.785]
[-1.000 0.041 1.000 -1.000 0.415 1.000]
[-0.068 -0.588 -0.672 0.136 0.214 0.064]
[-1.000 0.142 0.219 -1.000 -0.202 -0.570]
[-0.780 -0.298 0.612 -0.981 0.796 -0.251]
[-0.283 1.000 1.000 -1.000 0.170 -1.000]
[-0.483 0.010 0.226 -0.261 0.576 -1.000]
[-0.759 -1.000 -1.000 -0.520 0.267 0.118]
[0.010 0.487 -1.000 -1.000 -0.744 0.094]
[0.677 -0.981 0.324 0.777 -0.397 0.105]
[-0.623 1.000 -1.000 -0.143 0.639 1.000]
[0.544 0.379 -1.000 -0.977 -1.000 0.384]
[0.821 0.898 -1.000 1.000 -0.918 1.000]
[-1.000 0.175 -1.000 0.241 -0.350 -1.000]
[-0.121 -0.198 -1.000 0.775 0.668 1.000]
[-0.971 0.236 -0.334 0.761 1.000 -0.244]
[-1.000 0.606 -0.424 -0.223 1.000 0.302]
[1.000 0.025 0.167 -1.000 -1.000 -0.218]
[0.498 -0.680 -0.174 -0.616 -1.000 0.182]
[-1.000 0.191 -0.556 0.876 0.558 -0.666]
[0.517 1.000 0.709 0.283 0.684 0.108]
[-1.000 0.664 -1.000 -0.731 -0.031 0.843]
[0.459 0.483 -0.160 -1.000 0.111 -0.646]
[-0.138 0.706 -1.000 0.297 -0.258 1.000]
[-0.596 -1.000 -0.601 0.423 -0.831 0.149]
[0.958 -0.757 0.164 0.235 1.000 1.000]
[-0.341 1.000 -0.949 0.331 -0.554 0.784]
[-0.161 1.000 -0.785 -1.000 -1.000 0.565]
[0.116 -0.579 -0.812 -0.749 -0.937 -0.398]
[0.566 0.949 -0.756 -0.390 0.695 -1.000]
[-0.022 0.850 -1.000 0.760 0.784 -1.000]
[-1.000 1.000 -1.000 0.971 0.074 0.345]
[-1.000 -0.881 -0.169 1.000 1.000 -0.822]
[-0.088 -0.730 -1.000 0.407 0.646 1.000]
[-0.569 -0.513 0.894 1.000 -0.183 -0.286]
[-0.811 -0.312 -0.196 0.939 -0.645 -0.521]
[0.575 -0.144 -0.966 1.000 -0.505 1.000]
[-0.113 0.757 -0.233 -0.619 -0.418 0.170]
[-0.794 -1.000 -0.551 -0.320 0.945 0.596]
[0.443 -0.095 1.000 -0.624 1.000 -1.000]
[0.897 -0.484 0.544 1.000 0.076 -0.548]
[0.652 -0.652 0.777 -1.000 -1.000 0.424]
[-1.000 -0.068 -1.000 -0.508 0.691 1.000]
[0.167 1.000 0.436 -0.961 -0.150 -0.243]
[-0.760 -0.449 1.000 0.490 0.980 1.000]
[0.850 -0.657 1.000 0.508 0.753 0.273]
[-0.670 1.000 -0.813 -1.000 0.019 1.000]
[0.596 0.973 -1.000 -0.059 0.999 1.000]
[-0.345 -0.971 -0.240 -1.000 0.888 1.000]
[-1.000 -1.000 1.000 -0.724 -0.360 1.000]
[0.883 -1.000 -0.348 -0.201 1.000 0.102]
[-0.647 -0.640 -0.371 0.740 1.000 -0.077]
[0.012 0.135 -0.600 -1.000 -1.000 -0.906]
[-0.375 0.654 0.855 -0.840 0.997 0.175]
[-0.846 -0.933 0.751 -0.064 -1.000 -1.000]
[0.003 1.000 -0.914 0.915 1.000 1.000]
[-0.600 0.899 0.351 -0.306 0.707 -1.000]
[0.633 -0.518 -1.000 -0.230 -1.000 0.407]
[1.000 0.251 0.866 0.156 -0.911 0.223]
[0.674 1.000 0.802 -0.986 -0.128 0.544]
[0.641 0.283 0.157 0.204 0.727 -0.629]
[-0.571 0.094 -0.858 0.003 1.000 -0.518]
[0.210 0.827 -0.601 -0.519 0.118 0.297]
[-1.000 0.573 -1.000 1.000 -1.000 1.000]
[-1.000 -0.010 -0.231 -0.044 -1.000 1.000]
[-0.706 -0.729 1.000 1.000 -0.620 1.000]
[1.000 1.000 1.000 1.000 0.196 1.000]
[1.000 0.912 0.420 -0.168 -1.000 0.713]
[0.638 0.602 -0.723 -1.000 -1.000 -1.000]
[0.299 -1.000 0.712 0.867 -0.135 -0.873]
[-1.000 0.646 1.000 0.681 1.000 -0.249]
[0.591 -0.983 -1.000 0.743 1.000 -0.142]
[0.068 0.100 -1.000 -0.071 -0.151 -1.000]
[0.085 -0.363 -1.000 1.000 1.000 1.000]
[0.720 0.779 0.662 -1.000 -1.000 1.000]
[-0.045 -1.000 -0.467 0.743 1.000 1.000]
[1.000 -1.000 -1.000 -0.570 0.134 -0.522]
[-0.240 0.532 -1.000 -0.078 -0.082 -1.000]
[1.000 0.945 -1.000 0.048 0.329 1.000]
[-0.763 0.422 0.094 0.500 0.342 -0.064]
[-0.150 -0.583 -1.000 -0.442 -1.000 0.533]
[-0.271 0.336 0.434 0.159 -1.000 0.584]
[-1.000 0.248 -1.000 0.583 1.000 -1.000]
[-0.086 -0.094 0.057 0.460 1.000 0.491]
[1.000 -1.000 0.094 0.036 1.000 -1.000]
[1.000 -0.921 0.493 1.000 1.000 1.000]
[0.739 -1.000 -0.682 0.385 0.398 1.000]
[0.429 0.151 -1.000 -0.699 -0.286 -0.154]
[-1.000 -0.185 0.566 0.478 1.000 -0.018]
[0.927 -0.971 0.039 -0.501 0.600 0.524]
[0.523 0.095 1.000 -0.989 -0.196 -1.000]
[0.378 0.664 -1.000 -0.988 1.000 -0.171]
[-0.528 -0.457 0.558 0.291 0.360 0.148]
[-0.428 -0.710 0.945 0.739 -1.000 -0.428]
[-0.575 0.205 -1.000 -0.839 0.073 0.995]
[-0.819 -1.000 1.000 -0.567 -0.342 -0.103]
[-0.251 1.000 -1.000 0.098 1.000 -1.000]
[-0.499 -0.973 -0.906 -0.777 1.000 -0.013]
[1.000 1.000 -0.692 -1.000 0.025 -0.697]
[-0.338 -1.000 0.053 -0.708 -0.011 1.000]
[-0.158 -1.000 -0.161 -0.484 0.367 1.000]
[-0.913 0.651 1.000 1.000 0.387 -1.000]
[-1.000 0.317 0.807 0.884 0.184 -1.000]
[0.789 0.180 -1.000 -1.000 0.551 -0.829]
[0.238 1.000 0.678 0.256 -0.041 1.000]
[0.197 0.734 -0.592 -0.312 0.806 0.226]
[0.066 -1.000 1.000 -0.351 -0.645 -1.000]
[-1.000 0.111 -0.233 0.218 0.256 -1.000]
[-0.458 -0.517 -1.000 0.631 0.994 -1.000]
[0.436 1.000 1.000 0.379 0.957 0.331]
[0.472 -0.067 0.156 0.372 -0.729 -0.128]
[0.505 -0.582 0.424 -0.993 -0.881 0.571]
[1.000 0.299 -0.901 -1.000 0.468 1.000]
[1.000 0.265 -0.945 -0.252 -0.303 -0.675]
[-0.105 1.000 -1.000 0.469 0.439 -1.000]
[0.969 1.000 -0.216 -0.434 -1.000 1.000]
[-0.362 1.000 -0.280 -1.000 -0.419 0.105]
[-0.087 -0.422 -0.296 0.351 0.552 -0.176]
[-0.839 -1.000 0.598 -1.000 -0.194 -0.580]
[-0.188 0.050 -0.033 -1.000 -0.661 -0.975]
[-0.985 -1.000 -0.875 -1.000 -0.003 -0.288]
[0.009 0.296 -1.000 -0.137 1.000 -0.461]
[-1.000 -0.269 1.000 -1.000 -1.000 -0.433]
[0.482 0.630 1.000 -0.771 -1.000 -0.564]
[-0.283 -0.077 -0.558 1.000 0.013 -1.000]
[0.245 -1.000 -0.232 -1.000 -0.820 -0.389]
[1.000 -1.000 0.491 -0.177 -0.432 -0.587]
[-0.498 1.000 1.000 0.150 1.000 -0.172]
[-1.000 -0.174 -1.000 -0.057 0.005 -0.348]
[-0.251 0.954 -0.160 1.000 0.614 0.369]
[0.323 1.000 0.593 -0.090 0.117 -0.438]
[0.367 -1.000 0.137 -0.285 -0.588 -0.804]
[-1.000 0.937 -1.000 0.215 -0.285 -0.332]
[-0.943 1.000 0.237 0.570 -1.000 0.585]
[0.876 0.084 -0.205 -1.000 0.720 -0.041]
[-0.844 -1.000 -1.000 -0.037 -0.028 -0.220]
[0.307 -0.687 -0.452 0.814 -0.717 -0.861]
[-0.204 0.083 -1.000 -1.000 -0.796 1.000]
[-0.081 0.654 0.186 1.000 0.835 -1.000]
[-0.804 -0.717 -0.934 0.474 0.939 1.000]
[0.468 -1.000 1.000 1.000 0.254 1.000]
[0.120 -1.000 1.000 -1.000 -0.839 0.474]
[1.000 0.485 -0.721 1.000 -0.218 -1.000]
[0.780 -0.024 0.246 0.158 0.348 0.070]
[-0.027 0.909 0.174 -0.668 0.636 -0.148]
[-1.000 -1.000 0.408 0.297 0.268 0.041]
[-1.000 0.200 0.574 -0.051 0.851 -1.000]
[0.732 1.000 -0.315 1.000 0.174 -1.000]
[-0.114 -0.093 0.800 0.207 -1.000 1.000]
[1.000 -0.458 1.000 0.615 -0.188 -0.576]
[-0.428 -1.000 0.898 0.100 -0.447 1.000]
[-0.188 0.855 0.327 1.000 -0.477 -1.000]
[0.225 -0.122 1.000 0.347 0.023 0.052]
