#{"t_start": 1642724383.9279776, "env_id": null}
r,l,t
1175.40734,1000,27.853606
497.33052,1000,55.527077
1201.988994,1000,84.154962
1334.53479,1000,112.574761
855.801129,638,132.357949
924.514806,1000,160.820308
667.530408,741,183.291139
332.596211,413,195.432664
1444.963411,1000,225.753817
1533.780661,938,255.084463
430.196399,760,276.894197
1071.511928,699,297.038664
928.565374,1000,327.129955
1560.104643,824,350.952225
404.900652,492,368.237674
561.216593,958,395.128047
1140.004625,1000,426.663769
759.854424,978,453.986654
634.903912,803,476.948753
619.660162,1000,507.763956
213.051591,188,513.932432
913.304403,1000,542.844916
151.690528,188,550.239941
1086.789021,1000,580.496253
1633.460592,477,594.503782
1254.065,531,611.709595
622.5499,426,625.40934
1247.891601,1000,653.786629
1240.133789,738,676.166242
437.174806,359,686.955611
1084.136435,559,703.458469
823.709554,1000,733.8604
674.34279,585,751.730899
466.579092,358,762.342279
139.745252,458,776.045629
836.620413,546,793.719138
1040.376412,738,814.743534
349.931492,708,834.740719
501.382781,492,849.406626
1451.728361,591,868.225889
439.156887,262,876.396998
358.411466,327,886.365576
416.399039,293,895.474616
498.904904,455,908.876456
225.84728,170,914.633845
412.740652,725,937.620399
982.356397,236,946.376662
265.044179,500,961.038585
386.137035,354,972.316064
772.433345,861,1000.298995
1543.149806,517,1016.353793
276.066532,507,1031.607617
2267.481927,721,1054.284473
809.723783,572,1071.291131
292.662273,475,1085.918629
268.260026,178,1091.78676
729.309062,681,1113.334592
318.884761,243,1120.996434
590.31448,573,1139.178305
843.040976,654,1158.678385
461.322208,256,1166.80881
2146.967491,870,1195.126307
1321.450977,380,1207.35195
248.226407,206,1213.949926
306.957905,437,1227.193796
683.736641,1000,1257.487047
955.518855,535,1273.468753
481.726778,475,1288.139642
527.732739,351,1299.174915
1303.557865,1000,1330.192991
1527.169119,855,1355.22355
468.239782,366,1367.724652
2470.862319,792,1391.328158
594.91068,1000,1420.497002
2461.131969,518,1437.784458
1230.596463,1000,1467.461327
470.045159,188,1473.543784
543.795576,1000,1503.531018
1012.2696,1000,1532.801312
325.418508,869,1559.714262
1800.267763,1000,1588.9642
2028.064511,1000,1621.34516
1490.370737,1000,1651.446964
280.987068,1000,1683.313039
549.934978,1000,1712.398095
1159.256998,1000,1745.196543
1698.284315,1000,1774.9501
672.562187,1000,1806.591499
651.187922,447,1820.302829
571.391027,1000,1850.184213
468.559706,604,1869.797607
494.148064,472,1884.190489
1099.883616,428,1897.153003
785.6608,686,1917.741642
1198.133933,616,1937.137019
207.140133,336,1948.929372
451.645232,1000,1978.626636
243.165937,1000,2011.427443
1975.62485,760,2033.712836
1140.032712,1000,2064.315123
1014.392586,1000,2094.259303
2735.903456,1000,2126.261876
