,,0.29366520063147455
"[0.000 0.000 0.274 1.773 0.000 0.021 0.677 0.000 0.000 0.000 1.990 1.040
 -1.000 -1.000 -1.000 0.422 0.523 0.727]",,
,0.2933766878406276,
,,0.29337385497445023
"[0.000 0.000 0.000 1.218 0.000 0.845 0.000 0.989 0.000 0.782 0.700 0.188
 -1.000 1.000 -0.358 0.836 -0.933 0.262]",,
,0.29475743289552186,
,,0.2947566600571111
"[0.583 0.729 0.000 0.000 0.000 1.660 1.414 0.000 0.276 0.000 0.000 0.020
 -0.482 0.435 -1.000 0.332 -0.337 -0.065]",,
,0.2948848958885596,
,,0.2948821084676651
"[0.864 0.407 0.177 0.466 0.000 0.000 0.772 0.000 0.816 1.550 0.000 0.996
 -1.000 -1.000 -1.000 -0.433 1.000 0.568]",,
,0.2931595263842249,
,,0.2931452310482732
"[0.000 0.000 0.000 1.334 0.000 0.000 0.000 0.000 0.563 0.000 1.084 0.000
 0.979 0.636 -0.139 0.949 0.467 -0.690]",,
,0.2942599351523177,
,,0.2942578010436523
"[0.001 0.000 2.333 1.691 0.204 0.000 0.000 0.662 0.000 0.000 0.000 0.000
 -1.000 -0.638 0.458 -1.000 -0.183 0.530]",,
,0.29221587384824765,
,,0.2922127329625905
"[0.000 0.428 0.000 0.000 0.000 0.000 0.000 0.000 0.534 0.000 0.000 0.000
 1.000 0.395 0.635 0.719 0.017 -0.564]",,
,0.29439909581069373,
,,0.2943836852597582
"[0.000 0.119 0.000 0.000 0.127 1.773 0.000 0.019 0.000 0.000 0.000 0.000
 1.000 0.436 -0.554 -0.229 0.737 -0.253]",,
,0.2947357253992651,
,,0.2947336448941104
"[0.000 0.000 0.587 0.843 0.000 0.000 0.703 0.017 0.000 0.594 1.716 0.000
 0.270 1.000 -0.485 -0.791 0.047 -1.000]",,
,0.2943259932015395,
,,0.2943252782655681
"[1.330 0.000 0.000 0.000 0.000 0.878 0.774 0.646 0.617 0.000 0.000 0.000
 -0.003 1.000 -0.692 1.000 0.471 1.000]",,
,0.29260302997828086,
,,0.2925624580352845
"[0.266 1.343 0.000 0.656 1.888 0.183 0.478 0.000 0.000 0.197 2.039 0.000
 1.000 -1.000 -1.000 -0.172 -1.000 0.621]",,
,0.29348552313797566,
,,0.29348464394286733
"[0.344 0.707 0.000 0.000 0.431 0.000 0.569 0.789 0.000 0.000 1.100 0.536
 0.385 -1.000 0.411 0.504 0.194 0.615]",,
,0.2944942465077186,
,,0.2944939038594994
"[0.340 0.196 0.000 0.326 2.408 0.766 0.280 0.804 0.623 0.000 1.069 0.000
 1.000 -0.720 0.381 -1.000 0.051 1.000]",,
,0.2946654323936911,
,,0.2946547387443249
"[0.270 0.000 2.161 1.779 0.049 0.000 0.000 0.540 0.000 0.000 0.000 0.000
 0.734 -0.115 0.049 -0.109 1.000 1.000]",,
,0.295532966986943,
,,0.2955291333865725
"[0.000 0.875 0.000 0.000 0.529 0.000 0.000 0.160 0.000 0.000 0.000 1.269
 1.000 1.000 0.588 0.939 -0.630 1.000]",,
,0.29190491595268836,
,,0.2917326951192282
"[0.229 0.134 0.000 0.000 0.000 0.828 0.000 0.000 0.476 0.000 0.000 0.000
 -0.010 1.000 -0.563 0.650 0.039 -1.000]",,
,0.29441991615571683,
,,0.2944192886737032
