#{"t_start": 1642673227.6075742, "env_id": null}
r,l,t
-7.565771,5,1.149915
2.612515,35,3.070801
4.703758,43,5.190643
-8.498427,6,6.42771
-5.308292,8,7.613407
4.878499,35,9.537249
3.101189,21,11.075851
9.709202,13,12.380976
-2.187025,13,13.686768
-14.636784,35,15.71887
12.28828,22,17.29249
-2.297896,14,18.627182
15.520562,25,20.270847
-2.110146,34,22.140629
-5.777928,6,23.377408
-5.161774,22,24.929442
24.516318,47,27.210983
2.236224,14,28.567222
4.20126,21,30.109243
-11.741261,15,31.473154
26.780313,36,33.556659
2.172857,10,34.803896
40.930174,35,36.744959
16.86065,24,38.364012
-5.863524,11,39.622838
-6.609823,8,40.789235
-3.359613,14,42.2414
-1.431666,15,43.616206
19.473102,49,45.938779
20.098523,32,47.765758
-2.407135,19,49.241516
47.498286,62,52.01962
1.32004,35,53.960422
22.132027,19,55.448373
5.390253,25,57.102613
3.168969,15,58.468313
-25.899841,47,60.731829
-1.307542,13,62.159059
-47.261923,23,63.779443
-3.351624,27,65.478315
0.00469,25,67.132279
-3.331933,20,68.632444
-4.651722,8,69.847666
7.207652,17,71.387021
9.091825,18,72.848095
-65.689805,38,74.89112
-4.410818,24,76.53011
-42.941118,34,78.671988
-5.326755,15,80.164449
-5.375525,10,81.414603
-1.055587,20,82.920203
12.360566,22,84.464993
249.818976,123,88.849151
17.478858,26,90.50335
22.225652,57,93.157611
-3.418539,10,94.386593
11.803531,24,95.999552
10.414216,55,98.455928
18.144277,45,100.696413
-0.133745,18,102.286743
-5.102129,10,103.525543
3.683886,41,105.679594
21.68139,31,107.510179
-0.969073,10,108.75333
-6.761715,7,109.900438
0.093691,12,111.177662
9.513436,21,112.708097
3.895748,21,114.360063
3.519224,26,116.041013
18.796242,23,117.629129
-91.330302,49,119.967416
-4.144088,19,121.444048
6.748871,48,123.839044
10.997784,23,125.439966
412.663292,58,128.021992
9.894195,16,129.409944
22.020843,28,131.152081
-3.386617,18,132.582752
-2.321788,19,134.17456
-2.240244,23,137.502171
17.48967,43,139.66074
-3.477829,11,140.921111
-9.87776,18,142.396394
-0.475732,13,143.84449
-47.373042,56,146.439564
-0.691661,19,147.941014
-4.796463,15,149.320663
27.109092,65,152.118214
28.296717,57,154.689062
2.252891,21,156.242449
-9.956546,39,158.322194
-4.280643,22,159.884593
-22.762033,29,161.79115
5.561082,20,163.298174
-98.806503,42,165.479141
32.134395,35,167.41274
91.75724,113,171.534856
11.40628,22,173.224294
6.265179,38,175.277129
15.115791,21,176.841757
3.563159,13,178.173432
-0.43032,8,179.374835
-2.325208,37,181.413606
-6.256936,22,183.120108
-5.970013,11,184.385281
25.05154,23,185.988526
23.555011,20,187.514112
24.257709,26,189.207415
15.244665,16,190.623887
13.69859,22,192.303565
31.842597,37,194.303994
1.328467,13,195.635079
40.35112,86,199.042825
-14.451004,15,200.42123
11.681461,19,202.036354
3.052046,23,203.638616
-7.904045,49,206.000441
2.31542,14,207.362082
9.936733,19,208.872277
8.285116,29,210.628023
9.050135,24,212.38446
-1.695773,51,214.795249
9.083045,36,216.761115
-79.950364,50,219.129715
-0.807241,48,221.433254
8.258837,48,223.740768
2.50806,23,225.450974
-2.943176,27,227.15766
-7.021566,10,228.405452
5.941656,23,230.008468
12.499204,22,231.566056
-0.488188,15,233.057348
-9.331839,34,234.99668
-3.380238,25,236.657219
3.963985,27,238.367492
-4.42878,8,239.553065
44.879667,36,241.636085
33.859161,38,243.800968
3.314397,18,245.281417
-19.574324,26,246.985498
-41.812889,43,249.182169
598.70293,79,252.391932
11.963296,23,254.000354
2.783915,36,256.089388
-5.271497,23,257.699363
6.63672,22,259.260505
-6.923517,7,260.431586
-5.207311,10,262.812991
14.788846,25,264.644201
-3.833123,12,265.945542
19.543233,38,267.979022
85.805278,79,271.132556
59.315492,84,274.441912
6.22866,20,275.942222
-4.175391,15,277.428264
18.275552,16,278.837479
1.671747,16,280.247741
-2.127816,29,282.001806
37.452191,41,284.088187
-6.746088,10,285.448827
-5.358397,12,286.744211
9.674083,26,288.44316
3.203369,14,289.794934
-15.026921,18,291.255146
9.058615,16,292.652219
10.622386,31,294.47507
-2.155848,12,295.747984
3.280957,16,297.270482
-4.854187,9,298.490442
-5.528366,12,299.789969
6.340648,43,301.959548
-3.728631,11,303.221798
-2.328137,21,304.889724
-0.945636,14,306.247816
17.139594,43,308.395097
41.111015,45,310.600018
-5.215381,17,312.034507
10.837805,16,313.437572
-4.508484,12,314.727259
-3.360649,15,316.08736
6.72705,28,318.088646
-1.390752,11,319.363257
-3.211614,19,320.936779
2.409608,29,322.684974
-3.940059,24,324.297672
-5.891565,17,325.83736
-1.228973,17,327.269779
-43.490988,62,329.975754
-0.127249,24,331.597244
-2.127172,12,332.879488
32.539238,29,334.633007
24.670426,32,336.477474
-12.083136,55,338.979479
-0.00811,43,341.250045
-2.672328,14,342.611033
103.012246,80,345.738814
0.263598,53,348.193966
-0.155618,95,351.738435
-2.915076,11,353.125863
9.207821,21,354.684057
-0.104892,9,355.884013
4.659553,21,357.416188
-1.436035,14,358.766269
17.986245,17,360.184157
-5.536376,31,362.13858
-5.587898,8,363.325866
-15.029177,34,365.279364
17.133657,35,367.19134
2.256327,18,368.655775
-5.040402,13,369.962313
-1.750524,12,371.373753
97.365882,104,375.189176
11.440453,31,377.377659
20.237979,37,379.673895
-2.131877,22,381.443738
6.487162,18,383.011443
2.198703,29,384.764909
11.881129,22,386.33539
-5.089846,14,387.673656
0.056478,16,389.070168
-7.148833,6,390.194854
3.724392,22,391.875031
-7.690905,8,393.053433
15.455054,18,394.508263
4.172914,22,396.060216
29.859568,20,398.440977
49.469481,28,400.1696
-6.238079,19,401.760575
9.323441,31,403.556709
8.623872,31,405.382371
-4.329111,42,407.500482
-0.388748,15,408.855921
4.425381,19,410.445885
7.395674,27,412.147175
41.73801,72,415.097689
-6.438466,13,416.400194
-3.984363,10,417.634417
-5.673899,12,418.901555
-4.57907,13,420.338764
-5.435709,14,421.679836
19.088276,23,423.270252
199.727831,101,427.025061
11.669633,21,428.528827
1.008751,19,430.155107
-2.086725,16,431.557399
-1.941899,8,432.742214
17.073133,79,435.87742
1.979467,20,437.385022
3.701886,21,438.908229
26.284318,59,441.489734
6.793712,29,443.252151
16.375009,21,444.788026
37.24365,71,447.81578
21.852293,67,450.612966
94.995789,148,455.676332
18.361206,46,457.876756
13.564358,48,460.15362
2.925809,22,461.846366
4.734241,18,463.297441
30.132104,85,466.901654
85.623183,84,470.176557
3.168162,15,471.549338
10.568195,41,473.632777
-4.813339,9,474.959263
10.97465,57,477.521149
81.531673,163,482.92977
8.569137,15,484.291465
35.931729,54,486.777236
0.148835,22,488.345351
23.391482,30,490.240572
51.17375,35,492.178798
10.903731,28,493.903805
-2.021945,12,495.18063
-5.889016,10,496.399948
-2.574452,15,497.888794
1.248158,16,499.283203
0.947853,21,500.82563
1.288557,33,502.67261
-18.480036,26,504.377006
-0.98898,14,505.706203
-6.18555,10,507.045714
-12.464044,82,511.163726
25.642168,40,513.226383
47.853278,33,515.073712
332.811689,127,519.616235
-4.344394,17,521.163365
2.106973,22,522.738096
38.320347,60,525.378115
-5.223577,18,526.846662
19.740575,45,529.037091
11.941819,54,531.515201
52.382967,48,533.816208
1.113858,47,536.075002
9.469914,53,538.463075
-4.70327,73,541.56198
-4.82349,15,542.930151
-3.308286,21,544.478803
57.25337,49,546.773381
-6.06007,14,548.104133
14.952092,19,549.692143
2.543067,31,551.526068
-2.333818,15,552.895753
-3.226155,10,554.136008
18.206144,33,556.005024
81.575031,69,558.880291
-0.528937,9,560.206607
48.193327,28,561.957755
-0.687239,24,563.589358
59.990757,43,565.735662
-3.217283,31,567.533298
130.696875,76,570.715213
-29.454709,30,572.526762
13.767119,22,574.113251
7.868981,19,575.60017
-14.632757,46,577.876642
34.529269,41,579.986206
2.483561,13,581.305314
-119.392493,37,583.344319
18.264257,32,585.176452
-3.41944,10,586.524992
30.390194,63,589.25116
-2.90259,10,590.493252
18.233405,42,592.618643
10.783629,60,595.228419
-4.670886,23,596.943688
-0.016664,14,598.291184
-3.405102,9,599.498312
-111.476532,86,602.936099
-13.420091,30,604.733088
-7.090672,21,606.254326
-14.424758,37,608.3622
68.506101,72,611.354264
-60.123267,47,613.635749
1.303129,21,615.190477
67.047291,88,618.586921
1.34094,15,619.941848
4.820226,15,622.783196
12.829234,22,624.350438
13.062722,22,625.934762
2.800795,63,628.666046
11.302919,59,631.290518
0.812376,15,632.788612
3.641502,17,634.2241
7.326607,27,635.91849
22.729038,23,637.520533
-4.659411,12,638.808306
46.628926,238,646.389979
20.859715,14,647.842747
18.838494,60,650.458156
-9.447778,86,653.783297
22.724498,22,655.361256
137.539746,149,660.373723
-13.090372,30,662.284574
42.267274,52,664.713753
-3.836656,17,666.139348
47.163144,78,669.25889
19.321283,29,671.015491
-2.640432,57,673.557018
41.707212,60,676.200772
9.648625,24,677.81555
37.863964,99,681.551871
5.649621,43,683.823768
5.368019,81,687.045112
-20.414654,18,688.52494
4.126797,41,690.613753
-0.483974,13,691.915174
-1.101493,17,693.458309
-2.465294,17,694.887535
9.698086,17,696.318338
164.810138,64,699.092387
0.828515,16,700.494914
25.794953,77,703.584972
