#{"t_start": 1642156573.8622332, "env_id": null}
r,l,t
0.047823,15,1.447588
0.252914,22,3.064291
1.212719,97,6.957186
1.719328,34,9.033429
1.608689,138,14.1792
2.851292,126,18.834249
3.375738,219,26.387323
1.956342,72,29.569251
-0.000623,12,30.908005
-2.912989,43,33.194458
0.303208,20,34.752416
0.364081,19,36.278675
0.292223,30,38.247208
3.643011,203,45.488123
-0.143142,8,46.694302
12.72709,46,49.046221
1.947465,82,52.662446
-0.132503,12,53.992757
-0.27056,6,55.148941
0.060257,28,56.960539
8.874362,525,73.801555
-1.401202,50,76.418898
0.066338,13,77.832639
0.091067,19,79.371489
3.174068,96,83.219979
0.117055,52,85.789737
0.724441,52,89.237901
0.151337,21,94.74266
2.34072,91,98.472426
0.147298,18,100.108319
2.300478,64,103.960877
0.975195,93,108.142533
0.905639,28,111.113198
0.178947,13,112.843397
1.429088,71,116.362628
1.774077,37,118.52535
-1.91353,53,121.8766
1.52962,51,124.5609
-0.124553,12,125.897271
0.49755,22,127.644606
1.775625,65,130.613813
1.395377,78,133.945253
-0.177613,11,135.246662
29.507979,105,139.65006
-1.162613,51,142.202673
-0.030405,16,143.655805
0.344385,32,145.684879
0.095852,21,147.331068
1.979922,77,150.781874
-0.104242,15,152.218463
-0.067403,18,153.741323
-0.188705,17,155.217343
0.574221,23,157.011022
2.967927,330,167.879388
1.374869,116,172.947907
10.917275,69,176.460626
0.897602,20,178.522152
0.419651,38,180.77265
41.092676,207,188.460121
0.098112,86,192.030694
0.082794,18,193.553875
0.196167,22,195.302763
1.238641,42,197.56662
1.385931,43,202.438243
6.599686,225,212.668498
12.536397,226,221.022324
0.614016,39,223.221766
-0.196889,11,224.541744
0.037726,20,226.159302
12.343075,91,229.917705
16.468162,65,233.232875
9.268266,175,239.521091
1.733222,36,242.086349
8.586711,151,247.618697
0.167244,25,249.360406
4.23594,126,257.553948
9.829607,103,261.844663
-0.026579,15,263.278274
0.011225,19,264.828064
0.314817,36,266.891191
-0.245188,8,268.097163
-1.001728,291,278.07883
1.089084,55,280.719038
-0.240491,9,281.978328
0.211039,20,283.568127
12.14379,250,292.281599
1.289156,46,297.976625
0.046795,18,299.66288
0.466563,44,302.317595
-0.916898,36,304.427992
11.347194,101,308.719219
-0.059344,24,310.422308
0.122451,47,312.850872
-0.140889,27,314.630646
1.32576,46,318.078474
2.500934,81,321.530222
0.655097,24,323.295098
11.134757,34,325.871774
0.000556,25,327.848863
7.087368,140,333.455508
0.16907,17,334.953702
10.484516,92,339.119229
7.157705,233,347.646078
-0.234093,9,349.024475
0.371758,77,352.369749
0.395521,18,353.8959
0.919165,75,357.171459
8.425784,231,365.277735
1.241854,55,367.965783
1.602746,31,370.394639
2.807498,65,373.351505
2.612224,144,378.657995
-0.043181,12,379.989041
2.64021,93,383.742585
0.31458,18,385.380593
3.945139,122,390.362543
0.573934,26,392.149488
0.169086,13,393.560632
0.348656,22,395.346549
1.09555,57,401.948649
2.032715,41,404.220388
1.598095,66,407.317743
6.480935,93,411.09593
5.179357,139,416.563192
0.94783,81,420.012825
0.928282,34,422.019191
-0.218523,8,423.237201
8.023023,43,425.501747
0.242018,19,427.237601
6.56652,221,435.010851
0.422918,31,436.940896
0.180788,16,438.38436
0.114063,17,439.993762
0.664728,20,441.568653
-0.131118,10,442.850965
5.990387,177,449.172211
17.682297,77,452.56589
0.54594,19,454.297988
2.277919,156,460.716879
-2.275244,46,463.213488
-1.430214,90,468.909743
5.403693,71,472.108902
-0.11502,22,473.748059
1.005483,39,475.930982
0.024565,12,477.276568
-0.138101,14,478.653929
-2.163437,120,483.556928
2.4823,109,487.900148
10.477318,144,493.357833
0.519515,27,495.297979
1.555088,143,504.07108
5.11606,205,511.555911
-0.278458,51,514.124546
-0.031084,20,515.708694
6.712084,166,521.843426
2.81305,61,526.036696
9.203241,82,529.551677
1.161686,52,532.251031
0.35615,24,534.020182
9.232047,42,536.648549
0.13754,28,538.475291
26.591406,140,543.744741
0.496999,21,545.35681
4.291677,90,549.170956
4.625357,122,553.905905
-0.01901,10,555.201249
5.954384,124,560.642709
11.492894,33,562.734273
0.460462,18,564.256266
-0.870768,45,566.617094
0.729395,42,568.99962
2.915938,131,573.973316
1.307194,63,576.929172
0.439938,21,578.53554
1.577253,48,581.115551
4.918076,138,586.411063
0.310068,18,587.9471
0.263558,50,590.450417
1.490366,86,594.466886
0.524679,31,601.610132
6.307363,106,606.720389
6.142295,166,612.674458
0.562359,22,614.317768
0.050764,39,616.594128
3.543059,52,619.153565
-0.361699,93,623.035675
0.834787,155,628.9464
2.632798,146,634.331768
0.053459,18,635.963475
1.638445,243,644.64255
10.362089,213,652.357072
2.422333,63,655.571732
-0.08804,19,657.246253
5.099544,145,663.733797
-0.606379,29,665.743891
0.49788,27,667.542475
8.256552,201,676.313497
-0.146023,17,677.917867
1.257852,41,680.150787
11.685252,190,686.929223
9.294817,63,694.385773
0.660389,30,696.367377
13.904,183,702.919883
2.046138,62,705.765745
7.661557,237,714.029777
0.969487,30,715.887934
4.970791,189,722.755072
5.089832,202,729.999365
0.379517,31,731.922574
-0.464307,109,736.652711
4.061699,117,741.573434
12.126089,134,747.933786
0.50736,25,749.71847
1.189643,132,754.824316
7.286957,165,761.858721
0.659638,26,763.634062
3.576598,48,766.092767
4.146676,87,769.867734
-1.896294,32,771.892756
1.383595,44,774.202197
2.479492,61,777.023437
6.245824,121,784.614386
2.550414,53,787.207578
2.809493,80,790.585416
74.213434,260,799.704032
6.633125,105,803.972407
0.4954,87,808.084759
1.676045,29,809.938627
4.55169,155,816.527093
0.695875,64,820.253297
19.89571,61,823.58862
0.553122,59,826.392251
6.800016,142,831.879533
4.394424,132,836.859167
4.521192,138,842.18437
7.053886,101,846.308804
21.134943,267,855.933193
-0.027266,16,857.695274
0.380789,23,859.358753
15.062557,202,867.742972
3.204701,71,875.758384
0.004549,22,878.127762
1.026876,36,880.220759
15.747544,80,883.857693
49.063501,291,895.491962
30.469862,99,899.669471
2.481067,44,902.018867
4.858827,701,924.345634
-0.679797,45,926.749847
0.402095,28,928.584564
1.240971,78,931.92795
0.774437,78,935.341082
0.170051,13,936.848905
-0.075966,131,942.246915
45.10487,578,968.969957
-2.320212,43,971.337509
0.195282,16,973.102578
0.890983,43,975.412475
10.458621,424,989.318786
1.078098,34,991.412684
15.985749,291,1001.350643
13.578133,264,1010.403857
23.217429,201,1018.454158
1.31911,27,1020.360562
7.049674,351,1032.523704
3.623889,135,1037.521466
0.594913,28,1043.814043
40.121374,174,1050.212559
-1.580614,37,1052.456625
2.387324,54,1055.073432
7.724536,195,1062.100968
2.053737,47,1064.522653
45.900231,1522,1112.996063
0.962446,27,1118.02684
2.740468,253,1126.785357
-0.174064,8,1127.989577
-0.075279,56,1130.830998
4.467253,241,1139.146289
28.747902,591,1159.47674
83.141958,340,1171.138835
-5.264694,152,1177.294549
24.037137,302,1188.1745
2.177436,193,1200.326856
65.003204,1189,1238.469313
25.462607,305,1249.898492
51.16941,454,1270.263782
54.184473,376,1286.542456
1.64584,42,1289.336785
1.647771,68,1292.421081
100.6493,353,1305.028499
3.365286,80,1308.460978
2.611873,91,1312.472832
-0.617238,23,1314.165832
-4.998756,901,1344.433024
0.604007,29,1346.98076
14.428804,92,1355.894967
30.558745,216,1363.611834
12.816417,211,1371.132081
2.465781,134,1376.770156
28.801822,58,1379.552707
-0.941531,31,1381.478133
35.438165,21,1383.085755
43.350943,81,1386.554964
2.879394,244,1397.017063
